COD OFICINA,NOMBRE  OFICINA,PLAZA ACTUAL,NUEVA PLAZA TP CANJE
0513,PUERTO WILCHES      ,513,0100
0514,PUERTO BERRIO       ,514,0100
0516,LOS PATIOS N/SANTAND,260,0100
0518,ARGOS               ,701,0100
0520,POPAYAN             ,520,0100
0524,CASTILLA            ,701,0100
0526,QUIMBAYA            ,138,0100
0528,AMERICA             ,701,0100
0529,CTRO CCIAL ARRECIFE ,564,0100
0530,RIOHACHA            ,530,0100
0531,SAN IGNACIO         ,701,0100
0532,RIONEGRO            ,701,0100
0534,BELLO PLAZA         ,701,0100
0535,ARMENIA CLL 21 CR 17,138,0100
0538,C CIAL UNIC MEDELLIN,701,0100
0539,SAN ALBERTO         ,539,0100
0540,SAN ANDRES          ,540,0100
0543,LA SETENTA          ,701,0100
0544,SANTA LIBRADA       ,706,0100
0546,ORITO               ,546,0100
0547,EXT OFIC CAICEDONIA ,588,0100
0548,SAN JUAN DEL CESAR  ,548,0100
0549,PREM E BCO BTA BOCAG,204,0100
0550,CTRO CCIAL CITY PLAZ,701,0100
0551,CC UNICENTRO GIRARDO,348,0100
0552,CALLE 39 MONTERIA   ,438,0100
0554,STA ROSA DE OSOS    ,701,0100
0556,SAN MARTIN          ,556,0100
0558,CC BOSQUE PLAZA     ,701,0100
0564,SANTA MARTA         ,564,0100
0566,SANTA MONICA        ,706,0100
0568,SANTA RITA          ,706,0100
0569,OF RDOS Y PG CANAVER,713,0100
0572,SANTA ROSA DE CABAL ,715,0100
0574,LA CORDIALIDAD      ,707,0100
0576,STA. ROSA DE VITERBO,576,0100
0578,QUIBDO              ,578,0100
0582,OF REC Y PAG CUCUTA ,260,0100
0583,TOLEMAIDA           ,263,0100
0584,SECTOR ESTADIO      ,701,0100
0585,SECTOR SUR TUNJA    ,616,0100
0588,SEVILLA             ,588,0100
0589,TER TRANSP MANIZALES,428,0100
0590,REAL DE MINAS       ,713,0100
0592,SINCELEJO           ,592,0100
0593,LA MILAGROSA        ,701,0100
0595,LA LOMA             ,595,0100
0596,SOGAMOSO            ,596,0100
0598,C CIAL SAVANNA      ,701,0100
0599,LA JAGUA            ,599,0100
0600,CENTRO COM. CABECERA,713,0100
0601,C CIAL VENTURA PLAZA,260,0100
0603,TERM. TRANS SOGAMOSO,596,0100
0608,TOCAIMA             ,608,0100
0609,C.C.CARULLA PANCE   ,706,0100
0612,TULUA               ,612,0100
0613,CT.SERV.BCA.PYME 613,706,0100
0614,C CIAL UNICNETRO-CTA,260,0100
0616,TUNJA               ,616,0100
0618,CHIGORODO           ,128,0100
0619,VILLA DEL ROSARIO   ,260,0100
0620,TURBO               ,128,0100
0625,PUERTO RICO         ,625,0100
0627,CRR 38 CALLE 70     ,707,0100
0628,VALLEDUPAR          ,628,0100
0630,SECTOR VIVERO       ,707,0100
0633,UNICENTRO PEREIRA   ,715,0100
0634,SAN LUCAS PLAZA     ,701,0100
0636,VILLAVICENCIO       ,351,0100
0638,CC SANTA LUCIA PLAZA,442,0100
0639,VIPASA              ,706,0100
0642,SN JUAN PLAZA NEIVA ,442,0100
0643,OF CIUDAD BOLIVAR   ,701,0100
0644,YARUMAL             ,701,0100
0645,OF REC Y PAG CR 1RA ,706,0100
0646,YOPAL               ,646,0100
0648,YUMBO               ,706,0100
0649,CC NUESTRO URABA    ,128,0100
0650,EXT DE OF BLN UMBRIA,715,0100
0652,PURIFICACION        ,652,0100
0653,GUAYABAL BOX        ,701,0100
0656,ZARZAL              ,656,0100
0657,CTRO CCIAL MAYALES  ,628,0100
0658,OF PREM E BCO BTA BQ,707,0100
0659,OF REC Y PAG CARTAGE,204,0100
0661,EXT OF UNIVERSID NTE,707,0100
0666,NORMAL. PMP COSTA   ,707,0100
0667,NORMAL. PMP ORIENTE ,713,0100
0668,OF REC Y PAG AV40 VL,351,0100
0669,NORMAL. PMP OCCIDENT,706,0100
0671,OF REC Y PAG LA CAMP,706,0100
0674,EXT OFIC PROVIDENCIA,674,0100
0675,CC LE CHAMP         ,707,0100
0676,PAIPA               ,676,0100
0677,CTRO C PREMIUM PLAZA,701,0100
0678,LA 14 VALLE DE LILI ,706,0100
0679,PQUE CIAL RIO CAUCA ,706,0100
0680,CTRO.SERV.BCA.PYME M,701,0100
0692,TUMACO              ,692,0100
0693,UNICENTRO PASTO     ,466,0100
0695,PUERTO CARRE O      ,695,0100
0697,PUERTO LOPEZ        ,697,0100
0699,B. MILITAR LARANDIA ,312,0100
0701,CTRO.OP.REG.ANTQUIA ,701,0100
0704,QUIRINAL            ,442,0100
0705,OF CASTILLA LA NUEVA,351,0100
0706,CTRO.OP.REG.OCCIDEN ,706,0100
0707,CTRO.OP.REG.COSTA   ,707,0100
0713,CTRO.OP.REG.ORIENTE ,713,0100
0715,CTRO.OP.PEREIRA     ,715,0100
0750,GUAMO               ,750,0100
0752,CTR CIAL AVESMARIA  ,701,0100
0757,NORMAL. CEOI COSTA  ,707,0100
0767,CHAPARRAL           ,767,0100
0768,CENT SER EMP MEDELLI,701,0100
0771,CENT SER EMP BQUILLA,707,0100
0772,CENT SER EMP CALI   ,706,0100
0773,CENT SER EMP BMANGA ,713,0100
0781,MONTENEGRO          ,138,0100
0788,UN VEHIC MBCO ANTIO.,701,0100
0792,CALLE SEPT. NEIVA   ,442,0100
0793,PITALITO            ,793,0100
0800,PLANETA RICA        ,800,0100
0803,SAN NICOLAS         ,706,0100
0804,OFIC PTO GAITAN META,804,0100
0807,CC UNICENTRO TUNJA  ,616,0100
0808,CTRO C PUERTA NORTE ,701,0100
0810,C. CIAL METROPOLIT. ,707,0100
0811,ARKADIA             ,701,0100
0812,OF REC Y PAG AV SEXT,706,0100
0815,OF REC Y PAG YUMBO  ,706,0100
0817,C CIAL CAMPANARIO   ,520,0100
0825,EL ZULIA            ,260,0100
0827,OF PREM EDF BCO BTA ,706,0100
0828,OF REC Y PAG IMBANAC,706,0100
0829,CC NUESTRO MONTERIA ,438,0100
0830,SOLEDAD ATLANTICO   ,707,0100
0833,GER CORPORATIVO 833 ,706,0100
0834,OF FOSCAL INTNCIONAL,713,0100
0835,SAHAGUN             ,835,0100
0836,MURILLO TORO        ,370,0100
0837,LOS OCOBOS          ,370,0100
0838,OF CC PENALISA MALL ,348,0100
0839,OF REC Y PAG IBAGUE ,370,0100
0840,FRESNO              ,840,0100
0841,MANZANARES          ,841,0100
0842,PQUE LAGO URIBE PERE,715,0100
0843,OF REC Y PAG NEIVA  ,442,0100
0845,CIUDAD MILAGRO ARMEN,138,0100
0847,ANSERMA             ,847,0100
0848,RIOSUCIO            ,848,0100
0849,CARRERA 33 CABECERA ,713,0100
0850,PQUE URIBE BCBERMEJA,168,0100
0852,VILLA JULIA         ,351,0100
0853,CUMARAL             ,351,0100
0855,RIO CRAVO           ,646,0100
0856,OF REC Y PAG CLL 30 ,707,0100
0857,GER CORPORATIVO 857 ,701,0100
0858,GER CORPORATIVO 858 ,701,0100
0859,GER EMPRESARIAL 859 ,713,0100
0860,GER CORPORATIVO 860 ,707,0100
0861,OF REC Y PAG BVENTUR,186,0100
0863,CTR CIAL GUATAPURI  ,628,0100
0864,OF REC Y PAG VDUPAR ,628,0100
0865,OF REC Y PAG EST MED,701,0100
0868,INGREDION COLOMBIA S,706,0100
0869,C.C. PREM EL LIMONAR,706,0100
0874,CTR CIAL MIRAMAR    ,707,0100
0875,UN VEHIC MBCO BMANGA,713,0100
0878,OFICINA CLINICA META,351,0100
0880,MONTERIA NORTE      ,438,0100
0881,OF REC Y PAG CABECER,713,0100
0882,GER EMPRESARIAL 882 ,713,0100
0883,OF REC Y PAG CT ABAS,701,0100
0889,OF REC Y PAG PZ BV P,715,0100
0894,OF REC Y PAG BR COLO,701,0100
0895,MONIQUIRA           ,895,0100
0897,OFICINA CAUCASIA    ,897,0100
0900,CTR COMERC CACIQUE  ,713,0100
0906,OF REC Y PAG CLL 72 ,707,0100
0907,CTR CIAL CARIBE PLAZ,204,0100
0910,CC PORTAL DEL PRADO ,707,0100
0911,C.C VIVABUENAVENTURA,186,0100
0912,CTRO CIAL PER PLAZA ,715,0100
0913,CTRO CIAL VICTORIA P,715,0100
0914,MUNICIPIO GUARNE    ,701,0100
0937,OFICINA GIGANTE     ,937,0100
0939,EXT OF T.TRANSP PAST,466,0100
0942,MUNICIPIO SANTUARIO ,701,0100
0949,DIR.REGION ANTIOQUIA,701,0100
0958,DIR REGION COSTA    ,707,0100
0959,DIR REGION OCCIDENTE,706,0100
0961,DIR REGION ORIENTE  ,713,0100
0965,PREMIUM SAN FD PLAZA,701,0100
0966,GERENTE PREMIUM 5   ,701,0100
0967,GERENTE PREMIUM 6   ,701,0100
0968,PREMIUM CT.CIAL.CALI,706,0100
0969,GERENTE PREMIUM 7   ,706,0100
0971,GERENTE PREMIUM 8   ,706,0100
0972,GERENTE PREMIUM 9   ,706,0100
0975,CT.EMP.LAS AMERI.II ,707,0100
0977,GERENTE PREMIUM 10  ,707,0100
0978,GERENTE PREMIUM 11  ,707,0100
0979,OFC ALAMEDA REYES   ,578,0100
0980,SAN PEDRO DE LOS MIL,701,0100
0981,CENT COMER UNIC ARME,138,0100
0982,CONV. EMPL. JUSTICIA,701,0100
0983,LA ESTRELLA         ,701,0100
0984,PTO BOYACA          ,984,0100
0985,PREMIUM CABECERA    ,713,0100
0986,GERENCIA PREMIUM 12 ,713,0100
0987,GERENCIA PREMIUM 13 ,713,0100
0988,GCIA ADMIN Y SER ORI,713,0100
0991,EL PORVENIR         ,706,0100
0992,GERENTE PREMIUM 14  ,701,0100
0993,VILLANUEVA          ,993,0100
0994,OF REC Y PAG ITAGUI ,701,0100
0996,CTR EMP LAS AMERICAS,707,0100
0997,EXT. OFI. BECERRIL  ,997,0100
1003,NORMAL CTERA ANT PMP,701,0100
1023,GERENCIA PREMIUM 43 ,701,0100
1026,GERENCIA PREMIUM 46 ,707,0100
1027,GERENCIA PREMIUM 47 ,707,0100
1028,GCIA PREMIUM 48     ,706,0100
1029,GCIA PREMIUM 49     ,706,0100
1030,GCIA PREMIUM 50     ,706,0100
1035,GER CORPORATIVO 1035,701,0100
1036,GER CORPORATIVO 1036,707,0100
1037,GCIA NORM CORP COSTA,707,0100
1041,CARTERA VEHICU BOGOT,706,0100
1044,COMPRA CTERA SERVICR,701,0100
1045,NORM.ANT.OCCIDENTE  ,706,0100
1051,GERENCIA PREMIUM 51 ,707,0100
1052,GERENCIA PREMIUM 52 ,707,0100
1053,GERENCIA PREMIUM 53 ,715,0100
1054,GERENCIA PREMIUM 54 ,715,0100
1056,GCIA PREMIUM 55     ,713,0100
1063,GER CORPORATIVO 1063,701,0100
1068,ZONA 2 ANT VEHICULOS,701,0100
1069,ZN 1 BQUILLA VEHICUL,707,0100
1070,ZONA 1 ANT VEHICULOS,701,0100
1081,GER CORPORATIVO 1081,707,0100
1082,GER EMPRESARIAL 1082,701,0100
1086,GER EMPRESARIAL 1086,713,0100
1125,MICROF OCCD IV IPIAL,374,0100
1126,MICROF OCCD V POPAYA,520,0100
1127,MICROF COSTA VII RIO,530,0100
1129,MICROF CENTRAL V PTL,793,0100
1131,MICROF COSTA VIII SL,707,0100
1132,MICROF ORIENTE VI SG,713,0100
1133,MICROF OTE VII YOPAL,646,0100
1134,MICROF ANTQ VII QBD ,578,0100
1136,GCIA BANCA PYME 49  ,701,0100
1142,MICROF ANT VIII ARME,715,0100
1152,GCIA BANCA PYME 50  ,701,0100
1179,GER MED EMPRESA 1179,713,0100
1180,GER MED EMPRESA 1180,713,0100
1181,GER MED EMPRESA 1181,713,0100
1182,GER MED EMPRESA 1182,713,0100
1183,GER MED EMPRESA 1183,713,0100
1184,GER MED EMPRESA 1184,351,0100
1186,GER MED EMPRESA 1186,713,0100
1187,GER MED EMPRESA 1187,351,0100
1188,GER MED EMPRESA 1188,646,0100
1189,GER MED EMPRESA 1189,707,0100
1190,GER MED EMPRESA 1190,707,0100
1191,GER MED EMPRESA 1191,707,0100
1192,GER MED EMPRESA 1192,707,0100
1193,GER MED EMPRESA 1193,707,0100
1194,GER MED EMPRESA 1194,592,0100
1195,GCIA BANCA PYME 51  ,701,0100
1196,GER MED EMPRESA 1196,707,0100
1197,GER MED EMPRESA 1197,715,0100
1198,GER MED EMPRESA 1198,428,0100
1199,GER MED EMPRESA 1199,701,0100
1200,GER MED EMPRESA 1200,701,0100
1201,GER MED EMPRESA 1201,701,0100
1202,GER MED EMPRESA 1202,701,0100
1203,GER MED EMPRESA 1203,701,0100
1204,GER MED EMPRESA 1204,701,0100
1205,GER MED EMPRESA 1205,701,0100
1206,GER MED EMPRESA 1206,701,0100
1207,GER MED EMPRESA 1207,701,0100
1208,GER MED EMPRESA 1208,715,0100
1209,GER MED EMPRESA 1209,706,0100
1210,GER MED EMPRESA 1210,706,0100
1211,GER MED EMPRESA 1211,188,0100
1212,GER MED EMPRESA 1212,706,0100
1213,GER MED EMPRESA 1213,706,0100
1214,GER MED EMPRESA 1214,706,0100
1215,GER MED EMPRESA 1215,706,0100
1216,GER MED EMPRESA 1216,706,0100
1217,GER MED EMPRESA 1217,466,0100
1227,GCIA PYMA 134       ,428,0100
1228,GCIA BANCA PYME 135 ,188,0100
1231,GCIA PYME POPAYAN   ,520,0100
1234,GCIA PYME 52        ,706,0100
1243,CTR EXPCIA BQUILLA  ,707,0100
1254,GCIA NORM EMP ANTIOQ,701,0100
1255,GCIA NORM EMP OCCID ,706,0100
1256,GCIA NORM EMP CENTRO,713,0100
1257,GCIA NORM EMP COSTA ,707,0100
1288,GCIA PYME 53        ,706,0100
1300,MICROF.ORIENTE V    ,713,0100
1315,GCIA BANCA PYME 54  ,706,0100
1330,CR.VENCIDA NORIENTE ,713,0100
1331,CR.VENCIDA CALI     ,706,0100
1332,CR.VENCIDA MEDELLIN ,701,0100
1339,GCIA PYME 55        ,713,0100
1340,GCIA PYME 42        ,701,0100
1341,GCIA BANCA PYME 48  ,706,0100
1342,G. PREFERENTE 1342  ,713,0100
1343,G. PREFERENTE 1343  ,713,0100
1344,G. PREFERENTE 1344  ,713,0100
1345,G. PREFERENTE 1345  ,713,0100
1346,G. PREFERENTE 1346  ,713,0100
1347,G. PREFERENTE 1347  ,713,0100
1348,G. PREFERENTE 1348  ,713,0100
1349,G. PREFERENTE 1349  ,713,0100
1350,G. PREFERENTE 1350  ,707,0100
1351,G. PREFERENTE 1351  ,707,0100
1352,G. PREFERENTE 1352  ,707,0100
1353,G. PREFERENTE 1353  ,707,0100
1354,G. PREFERENTE 1354  ,707,0100
1355,G. PREFERENTE 1355  ,707,0100
1356,G. PREFERENTE 1356  ,707,0100
1357,G. PREFERENTE 1357  ,707,0100
1365,GCIA PYME 47        ,706,0100
1368,GCIA PYME 46        ,706,0100
1369,GCIA BANCA PYME 56  ,713,0100
1373,GCIA PYME 57        ,713,0100
1375,GCIA PYME 58        ,707,0100
1385,GER MED EMPRESA 1385,707,0100
1395,GER CORPORATIVO 1395,707,0100
1404,GCIA BANCA PYME 45  ,706,0100
1409,GER EMPRESARIAL 1409,713,0100
1411,G.OFICIAL RED 1411  ,701,0100
1413,GCIA EMPRES BQLL MB ,707,0100
1419,GCIA EMPRES CALI MB ,706,0100
1422,MICROFINAN CTRAL IV ,390,0100
1429,MICROFINAN. ORI. I  ,713,0100
1430,MICF RIONEGRO ANT VI,430,0100
1440,GCIA BCA SOC OCCIDEN,706,0100
1453,MICROFINAN. ORI. II ,713,0100
1457,MICROFINAN. ORI. III,713,0100
1460,MICROFINAN. OCC. I  ,706,0100
1483,GER SOCIAL 1483     ,701,0100
1489,UNID MICROF ESPINAL ,296,0100
1491,MICROFINAN. COSTA   ,707,0100
1492,MICROF COSTA IX BOSC,183,0100
1493,MICROFINAN. ANTI.I  ,701,0100
1494,UNID MICRO SANT QUIL,706,0100
1495,UNID MICRO BELLO    ,701,0100
1497,UNID MICRO FLORENCIA,312,0100
1498,UNID.MICRO PALMIRA  ,706,0100
1499,GCIA BANCA PYME 44  ,706,0100
1500,GCIA BANCA PYME 43  ,701,0100
1501,GCIA BANCA PYME 69  ,351,0100
1502,GCIA PYME 62        ,715,0100
1503,GCIA BANCA PYME 41  ,701,0100
1505,GCIA BCA SOC EJE CAF,701,0100
1506,GCIA BANCA PYME 63  ,715,0100
1507,GCIA BANCA PYME 64  ,715,0100
1509,GCIA PYME 40        ,701,0100
1515,GCIA PYME 65        ,715,0100
1527,GCIA PYME 39        ,701,0100
1533,G.OFICIAL RED 1533  ,351,0100
1537,GCIA BCA SOC NTE BQL,707,0100
1549,MICROFINAN. ANTI.II ,701,0100
