COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO,ID ZONA,ID ZONA PADRE ACTUAL,ID ZONA PADRE MOVIMIENTO,NOMBRE OFICINA,ID ZONA,NOMBRE ACTUAL ZONA,NOMBRE ZONA NUEVO,ACTUAL NOMBRE DISTRITO,NUEVO  NOMBRE DISTRITO,ID ZONA,NOMBRE DIRECCION ACTUAL,NOMBRE NUEVA DIRECCION 
0025,42,-,021,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,PLAZA D LAS AMERICAS,-,,Gcia. Distrito Bogotá 21,Distrito BTA 19,2609,2705,2684,PLAZA D LAS AMERICAS,2684,GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,,Distrito BTA 19,,,
0026,42,-,015,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,SANTUARIO 20 D JULIO,-,,Gcia. Distrito Bogotá 15,Distrito BTA 14,2698,2757,2752,SANTUARIO 20 D JULIO,2684,GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,,Distrito BTA 14,,,
0030,42,-,002,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,GAITANA             ,-,,Gcia. Distrito Bogotá 2,Distrito BTA 3,2737,2517,2518,GAITANA             ,2793,GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,,Distrito BTA 3,,,
0033,42,-,012,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 12,GZ DISTRITOS BTA 2,ANDES               ,-,,Gcia. Distrito Bogotá 12,Distrito BTA 11,2763,2744,2738,ANDES               ,2726, GCIA DISTRITO BTA 12,GZ DISTRITOS BTA 2,,Distrito BTA 11,,,
0035,42,-,011,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,AVENIDA 19          ,-,,Gcia. Distrito Bogotá 11,Distrito BTA 10,2758,2738,2733,AVENIDA 19          ,2726,GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,,Distrito BTA 10,,,
0036,42,-,011,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,CARRERA 10 CALLE 17 ,-,,Gcia. Distrito Bogotá 11,Distrito BTA 11,2759,2738,2738,CARRERA 10 CALLE 17 ,2726,GCIA DISTRITO BTA 11,GZ DISTRITOS BTA 2,,Distrito BTA 11,,,
0038,42,-,009,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 9 ,GZ DISTRITOS BTA 1,AVENIDA CHILE       ,-,,Gcia. Distrito Bogotá 9,Distrito BTA 8,2740,2727,2795,AVENIDA CHILE       ,2726,GCIA DISTRITO BTA 9 ,GZ DISTRITOS BTA 1,,Distrito BTA 8,,,
0039,42,-,003,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,PARQUE EL VIRREY    ,-,,Gcia. Distrito Bogotá 3,Distrito BTA 7,2822,2518,2794,PARQUE EL VIRREY    ,2793, GCIA DISTRITO BTA 3 ,GZ DISTRITOS BTA 1,,Distrito BTA 7,,,
0040,42,-,008,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 8 ,GZ DISTRITOS BTA 2,CHAPINERO           ,-,,Gcia. Distrito Bogotá 8,Distrito BTA 9,2747,2795,2727,CHAPINERO           ,2726, GCIA DISTRITO BTA 8 ,GZ DISTRITOS BTA 2,,Distrito BTA 9,,,
0043,42,-,008,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 08,GZ DISTRITOS BTA 2,UNIV. JAVERIANA     ,-,,Gcia. Distrito Bogotá 8,Distrito BTA 9,2750,2795,2727,UNIV. JAVERIANA     ,2726, GCIA DISTRITO BTA 08,GZ DISTRITOS BTA 2,,Distrito BTA 9,,,
0045,42,-,021,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,CENTRAL DE ABASTOS  ,-,,Gcia. Distrito Bogotá 21,Distrito BTA 19,2603,2705,2696,CENTRAL DE ABASTOS  ,2684,GCIA DISTRITO BTA 21,GZ DISTRITOS BTA 3,,Distrito BTA 19,,,
0046,42,-,026,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,CIUDAD SALITRE      ,-,,Gcia. Distrito Bogotá 26,Distrito BTA 22,2600,2580,2709,CIUDAD SALITRE      ,2573,GCIA DISTRITO BTA 26,GZ DISTRITOS BTA 3,,Distrito BTA 22,,,
0047,42,-,004,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 4 ,GZ DISTRITOS BTA 1,UNICENTRO           ,-,,Gcia. Distrito Bogotá 4,Distrito BTA 6,2815,2519,2521,UNICENTRO           ,2793,GCIA DISTRITO BTA 4 ,GZ DISTRITOS BTA 1,,Distrito BTA 6,,,
0049,42,-,009,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 9 ,GZ DISTRITOS BTA 1,OFICINA 7-72        ,-,,Gcia. Distrito Bogotá 9,Distrito BTA 8,,,,OFICINA 7-72        ,, GCIA DISTRITO BTA 9 ,GZ DISTRITOS BTA 1,,Distrito BTA 8,,,
0057,42,-,014,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,RICAURTE            ,-,,Gcia. Distrito Bogotá 14,Distrito BTA 12,2687,2752,2744,RICAURTE            ,2726, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,,Distrito BTA 12,,,
0059,08,-,003,001,CENTRAL             ,DIRECCION CENTRAL,CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,MESITAS DEL COLEGIO ,-,,-,-,,,,MESITAS DEL COLEGIO ,,CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,,-,,,
0062,42,-,013,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,SAN DIEGO           ,-,,Gcia. Distrito Bogotá 13,Distrito BTA 10,2756,2748,2733,SAN DIEGO           ,2726, GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,,Distrito BTA 10,,,
0066,08,-,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,PACHO               ,-,,-,-,,,,PACHO               ,,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,,-,,,
0067,08,-,006,004,CENTRAL             ,DIRECCION CENTRAL, SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,TABIO               ,-,,-,-,,,,TABIO               ,, SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,,-,,,
0073,42,-,023,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 23,GZ DISTRITOS BTA 3,CC EL EDEN          ,-,,Gcia. Distrito Bogotá 23,Distrito BTA 20,,,,CC EL EDEN          ,, GCIA DISTRITO BTA 23,GZ DISTRITOS BTA 3,,Distrito BTA 20,,,
0075,42,-,008,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 8 ,GZ DISTRITOS BTA 2,GALERIAS            ,-,,Gcia. Distrito Bogotá 8,Distrito BTA 9,2746,2795,2727,GALERIAS            ,2726,GCIA DISTRITO BTA 8 ,GZ DISTRITOS BTA 2,,Distrito BTA 9,,,
0078,42,-,007,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 1,METROPOLIS          ,-,,Gcia. Distrito Bogotá 7,Distrito BTA 5,2576,2794,2520,METROPOLIS          ,2793, GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 1,,Distrito BTA 5,,,
0079,42,-,025,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 1,LA CLARITA          ,-,,Gcia. Distrito Bogotá 25,Distrito BTA 5,,,,LA CLARITA          ,, GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 1,,Distrito BTA 5,,,
0081,42,-,007,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 1,SIETE DE AGOSTO     ,-,,Gcia. Distrito Bogotá 7,Distrito BTA 8,2743,2794,2795,SIETE DE AGOSTO     ,2793,GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 1,,Distrito BTA 8,,,
0082,42,-,007,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 3,AVDA. CALLE 68      ,-,,Gcia. Distrito Bogotá 7,Distrito BTA 21,2579,2794,2705,AVDA. CALLE 68      ,2793, GCIA DISTRITO BTA 7 ,GZ DISTRITOS BTA 3,,Distrito BTA 21,,,
0085,42,-,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,CTRO CIAL SANTAFE   ,-,,Gcia. Distrito Bogotá 6,Distrito BTA 1,2796,2521,2516,CTRO CIAL SANTAFE   ,2793, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,,Distrito BTA 1,,,
0086,42,-,010,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,BULEVAR NIZA        ,-,,Gcia. Distrito Bogotá 10,Distrito BTA 4,2732,2733,2519,BULEVAR NIZA        ,2726, GCIA DISTRITO BTA 10,GZ DISTRITOS BTA 1,,Distrito BTA 4,,,
0088,06,-,005,001,NORORIENTE          ,DIRECCION CARIBE,MAGDALENA-GUAJIRA   ,GZ CESAR MAGDALENA Y GUAJIRA,CC VIVA WAJIRA      ,-,,-,-,,,,CC VIVA WAJIRA      ,,MAGDALENA-GUAJIRA   ,GZ CESAR MAGDALENA Y GUAJIRA,,-,,,
0089,42,-,017,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 17,GZ DISTRITOS BTA 3,AUTOPISTA DEL SUR   ,-,,Gcia. Distrito Bogotá 17,Distrito BTA 18,2715,2685,2691,AUTOPISTA DEL SUR   ,2684, GCIA DISTRITO BTA 17,GZ DISTRITOS BTA 3,,Distrito BTA 18,,,
0091,06,-,002,001,NORORIENTE          ,DIRECCION CARIBE,CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,LOPERENA VALLEDUPAR ,-,,-,Distrito Valledupar,,,,LOPERENA VALLEDUPAR ,,CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,,Distrito Valledupar,,,
0092,42,-,025,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 3,FONTIBON            ,-,,Gcia. Distrito Bogotá 25,Distrito BTA 21,,,,FONTIBON            ,, GCIA DISTRITO BTA 25,GZ DISTRITOS BTA 3,,Distrito BTA 21,,,
0094,08,-,006,004,CENTRAL             ,DIRECCION CENTRAL,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,MOSQUERA            ,-,,-,-,,,,MOSQUERA            ,,SABANA              ,GZ MUNICIPIOS DE CUNDINAMARCA,,-,,,
0095,42,-,014,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,LAS AMERICAS        ,-,,Gcia. Distrito Bogotá 14,Distrito BTA 12,2725,2752,2744,LAS AMERICAS        ,2726, GCIA DISTRITO BTA 14,GZ DISTRITOS BTA 2,,Distrito BTA 12,,,
0096,42,06,032,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,DISTRITO 90         ,-,,Gcia. Distrito B/quilla 1,Distrito B/quilla 1,2925,2921,2921,DISTRITO 90         ,2920,G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito B/quilla 1,,,
0097,06,-,001,003,NORORIENTE          ,DIRECCION CARIBE,BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CCIAL MALL PLAZ,-,,-,Distrito Cartagena,,,,CTRO CCIAL MALL PLAZ,,BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito Cartagena,,,
0103,42,-,020,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,CIUDAD MONTES       ,-,,Gcia. Distrito Bogotá 20,Distrito BTA 13,2694,2700,2748,CIUDAD MONTES       ,2684, GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,,Distrito BTA 13,,,
0104,04,-,002,005,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE,MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,ABEJORRAL           ,-,,-,-,,,,ABEJORRAL           ,,MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,,-,,,
0106,42,-,013,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,CENTRO INTERNACIONAL,-,,Gcia. Distrito Bogotá 13,Distrito BTA 9,2753,2748,2727,CENTRO INTERNACIONAL,2726,GCIA DISTRITO BTA 13,GZ DISTRITOS BTA 2,,Distrito BTA 9,,,
0107,42,-,012,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 12,GZ DISTRITOS BTA 2,GRAN SAN VICTORINO  ,-,,Gcia. Distrito Bogotá 12,Distrito BTA 11,2762,2744,2738,GRAN SAN VICTORINO  ,2726,GCIA DISTRITO BTA 12,GZ DISTRITOS BTA 2,,Distrito BTA 11,,,
0111,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE,NARINO CAUCA        ,GZ NARINO Y CAUCA,SANTANDER DE QUILICH,-,,-,-,,,,SANTANDER DE QUILICH,,NARINO CAUCA        ,GZ NARINO Y CAUCA,,-,,,
0114,42,04,054,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 8 ,GZ DISTRITOS VALLE DE ABURRA,CENTRAL DE ABASTOS  ,-,,Gcia. Distrito Medellín 8,Distrito Medellin 6,3053,3015,3013,CENTRAL DE ABASTOS  ,3007, G.DISTRITO MDLLIN 8 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 6,,,
