COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO,ID ZONA,ID ZONA PADRE ACTUAL,ID ZONA PADRE MOVIMIENTO,NOMBRE OFICINA,ID ZONA,NOMBRE ACTUAL ZONA,NOMBRE ZONA NUEVO,ACTUAL NOMBRE DISTRITO,NUEVO  NOMBRE DISTRITO,ID ZONA,NOMBRE DIRECCION ACTUAL,NOMBRE NUEVA DIRECCION 
0134,42,07,045,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE,G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,CC LA ESTACION CALI ,-,,Gcia. Distrito Cali 7,Distrito Cali 6,2999,2968,2968,CC LA ESTACION CALI ,2962,G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,,Distrito Cali 6,,,
0135,42,-,015,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,LA VICTORIA SUR ORIE,-,,Gcia. Distrito Bogotá 15,Distrito BTA 14,2699,2757,2752,LA VICTORIA SUR ORIE,2684, GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,,Distrito BTA 14,,,
0136,08,41,001,007,CENTRAL             ,DIRECCION ORIENTE,BOYACA              ,GZ BOYACA,OFICINA BARBOSA     ,-,,-,-,,,,OFICINA BARBOSA     ,,BOYACA              ,GZ BOYACA,,-,,,
0137,06,41,006,010,NORORIENTE          ,DIRECCION ORIENTE, NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,ARAUCA              ,-,,-,-,,,,ARAUCA              ,, NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,,-,,,
0138,04,-,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, QUINDIO-CHOCO       ,GZ EJE CAFETERO,ARMENIA             ,-,,-,Distrito Armenia,,,,ARMENIA             ,, QUINDIO-CHOCO       ,GZ EJE CAFETERO,,Distrito Armenia,,,
0140,04,08,006,-,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,LERIDA              ,-,,-,-,,,,LERIDA              ,, TOLIMA              ,GZ TOLIMA,,-,,,
0142,42,07,039,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 1   ,GZ DISTRITOS CALI,CTRO CIAL JARDIN PLZ,-,,Gcia. Distrito Cali 1,Distrito Cali 1,2971,2962,2963,CTRO CIAL JARDIN PLZ,2962, G.DISTRITO CALI 1   ,GZ DISTRITOS CALI,,Distrito Cali 1,,,
0143,42,-,016,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 16,GZ DISTRITOS BTA 3,BOSA                ,-,,Gcia. Distrito Bogotá 16,Distrito BTA 17,2711,2761,2685,BOSA                ,2684, GCIA DISTRITO BTA 16,GZ DISTRITOS BTA 3,,Distrito BTA 17,,,
0146,42,07,046,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE,G.DISTRITO CALI 8   ,GZ DISTRITOS CALI,PQ VERSALLES CALI   ,-,,Gcia. Distrito Cali 8,Distrito Cali 4,2998,2970,2966,PQ VERSALLES CALI   ,2962,G.DISTRITO CALI 8   ,GZ DISTRITOS CALI,,Distrito Cali 4,,,
0149,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE, BYCA Y NTE DE CMARCA,GZ BOYACA,VILLAPINZON         ,-,,-,-,,,,VILLAPINZON         ,, BYCA Y NTE DE CMARCA,GZ BOYACA,,-,,,
0151,42,06,034,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 3,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CENTRO NELMAR       ,-,,Gcia. Distrito B/quilla 3,Distrito B/quilla 3,2937,2923,2923,CENTRO NELMAR       ,2920,G.DISTRITO BQUILLA 3,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito B/quilla 3,,,
0154,42,04,051,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE,G.DISTRITO MDLLIN 5 ,GZ DISTRITOS VALLE DE ABURRA,S.ANTONIODELPRADO   ,-,,Gcia. Distrito Medellín 5,Distrito Medellin 7,3054,3012,3014,S.ANTONIODELPRADO   ,3007,G.DISTRITO MDLLIN 5 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 7,,,
0157,42,41,037,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE, G.DISTRITO BMANGA 2 ,GZ BUCARAMANGA,SOTOMAYOR           ,-,,Gcia. Distrito B/manga 2,Distrito B/manga 2,2952,2945,2946,SOTOMAYOR           ,2920, G.DISTRITO BMANGA 2 ,GZ BUCARAMANGA,,Distrito B/manga 2,,,
0161,42,-,017,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 17,GZ DISTRITOS BTA 3,CIUDAD TUNAL        ,-,,Gcia. Distrito Bogotá 17,Distrito BTA 18,2706,2685,2691,CIUDAD TUNAL        ,2684, GCIA DISTRITO BTA 17,GZ DISTRITOS BTA 3,,Distrito BTA 18,,,
0164,42,07,045,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE,G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,CTRO CCIAL CALIMA   ,-,,Gcia. Distrito Cali 7,Distrito Cali 5,3003,2969,2967,CTRO CCIAL CALIMA   ,2962,G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,,Distrito Cali 5,,,
0166,42,07,043,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,PARQUE SAN NICOLAS  ,-,,Gcia. Distrito Cali 5,Distrito Cali 4,2994,2966,2966,PARQUE SAN NICOLAS  ,2962, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,,Distrito Cali 4,,,
0168,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,BARRANCABERMEJA     ,-,,-,Distrito Barrancabermeja,,,,BARRANCABERMEJA     ,, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,,Distrito Barrancabermeja,,,
0170,42,06,034,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 3,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BARRANQUILLA        ,-,,Gcia. Distrito B/quilla 3,Distrito B/quilla 3,2936,2923,2923,BARRANQUILLA        ,2920, G.DISTRITO BQUILLA 3,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito B/quilla 3,,,
0171,42,-,020,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,CRR 19 AV PRIM MAYO ,-,,Gcia. Distrito Bogotá 20,Distrito BTA 13,2695,2700,2748,CRR 19 AV PRIM MAYO ,2684,GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,,Distrito BTA 13,,,
0173,42,06,033,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 2,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BOULEVARD 54        ,-,,Gcia. Distrito B/quilla 2,Distrito B/quilla 2,2930,2922,2922,BOULEVARD 54        ,2920,G.DISTRITO BQUILLA 2,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito B/quilla 2,,,
0174,42,-,015,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,SANTA LUCIA         ,-,,Gcia. Distrito Bogotá 15,Distrito BTA 14,2707,2757,2752,SANTA LUCIA         ,2684,GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,,Distrito BTA 14,,,
0178,42,04,047,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE,G.DISTRITO MDLLIN 1 ,GZ DISTRITOS VALLE DE ABURRA,BELLO               ,-,,Gcia. Distrito Medellín 1,Distrito Medellin 1,3017,3007,3008,BELLO               ,3007,G.DISTRITO MDLLIN 1 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 1,,,
0180,42,07,043,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,CALI                ,-,,Gcia. Distrito Cali 5,Distrito Cali 3,2990,2966,2965,CALI                ,2962, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,,Distrito Cali 3,,,
0181,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, NARINO CAUCA        ,GZ NARINO Y CAUCA,PUERTO TEJADA       ,-,,-,-,,,,PUERTO TEJADA       ,, NARINO CAUCA        ,GZ NARINO Y CAUCA,,-,,,
0182,06,-,001,003,NORORIENTE          ,DIRECCION CARIBE, BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,EDF BCO DE BTA BOCAG,-,,-,Distrito Cartagena,,,,EDF BCO DE BTA BOCAG,, BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito Cartagena,,,
0183,06,-,002,001,NORORIENTE          ,DIRECCION CARIBE, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,BOSCONIA            ,-,,-,-,,,,BOSCONIA            ,, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,,-,,,
0184,42,41,038,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE, G.DISTRITO BMANGA 3 ,GZ BUCARAMANGA,BUCARAMANGA         ,-,,Gcia. Distrito B/manga 3,Distrito B/manga 3,2959,2946,2947,BUCARAMANGA         ,2920, G.DISTRITO BMANGA 3 ,GZ BUCARAMANGA,,Distrito B/manga 3,,,
0186,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,VISTAMAR BUENAVENTUR,-,,-,-,,,,VISTAMAR BUENAVENTUR,, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,,-,,,
0187,42,06,032,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BUENAVISTA          ,-,,Gcia. Distrito B/quilla 1,Distrito B/quilla 1,2927,2921,2921,BUENAVISTA          ,2920, G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito B/quilla 1,,,
0188,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE,VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,BUGA                ,-,,-,Distrito Norte del Valle,,,,BUGA                ,,VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,,Distrito Norte del Valle,,,
0190,04,-,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, QUINDIO-CHOCO       ,GZ EJE CAFETERO,CALARCA             ,-,,-,Distrito Armenia,,,,CALARCA             ,, QUINDIO-CHOCO       ,GZ EJE CAFETERO,,Distrito Armenia,,,
0191,42,-,024,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 24,GZ DISTRITOS BTA 1,C.C TITAN           ,-,,Gcia. Distrito Bogotá 24,Distrito BTA 5,2582,2720,2520,C.C TITAN           ,2573, GCIA DISTRITO BTA 24,GZ DISTRITOS BTA 1,,Distrito BTA 5,,,
0195,37,-,006,-,DIR BANCA PREMIUM   ,DIRECCION BANCA PREMIUM, PREMIUM NORORIENTE  ,GZ PREMIUM NORORIENTE,OF PREMIUM RUITOQUE ,-,,,,,,,OF PREMIUM RUITOQUE ,, PREMIUM NORORIENTE  ,GZ PREMIUM NORORIENTE,,,,,
0197,08,-,003,004,CENTRAL             ,DIRECCION CENTRAL,CUNDINAMARCA        ,GZ MUNICIPIOS DE CUNDINAMARCA,CHOACHI             ,-,,-,-,,,,CHOACHI             ,,CUNDINAMARCA        ,GZ MUNICIPIOS DE CUNDINAMARCA,,-,,,
0198,08,-,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,UNICENTRO VILLAVICEN,-,,-,Distrito Villavicencio 1,,,,UNICENTRO VILLAVICEN,, VILLAVICENCIO       ,GZ META,,Distrito Villavicencio 1,,,
0200,08,-,008,005,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ TERRITORIOS ORIENTE COLOMBIANO,BASE MIL.SAN JOSE GU,-,,-,-,,,,BASE MIL.SAN JOSE GU,, VILLAVICENCIO       ,GZ TERRITORIOS ORIENTE COLOMBIANO,,-,,,
0201,08,-,007,005,CENTRAL             ,DIRECCION CENTRAL, TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,GRAN PLAZA FLORENCIA,-,,-,Distrito Florencia,,,,GRAN PLAZA FLORENCIA,, TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,,Distrito Florencia,,,
0202,08,-,007,005,CENTRAL             ,DIRECCION CENTRAL,TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,DONCELLO            ,-,,-,-,,,,DONCELLO            ,,TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,,-,,,
0203,42,41,036,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE,G.DISTRITO BMANGA 1 ,GZ BUCARAMANGA,CANAVERAL           ,-,,Gcia. Distrito B/manga 1,Distrito B/manga 1,,,,CANAVERAL           ,,G.DISTRITO BMANGA 1 ,GZ BUCARAMANGA,,Distrito B/manga 1,,,
0204,06,-,001,003,NORORIENTE          ,DIRECCION CARIBE, BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CARTAGENA           ,-,,-,Distrito Cartagena,,,,CARTAGENA           ,, BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito Cartagena,,,
0206,04,-,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, NUEVO QUINDIO       ,GZ EJE CAFETERO,CARTAGO             ,-,,-,Distrito Area Metropolitina Pereira,,,,CARTAGO             ,, NUEVO QUINDIO       ,GZ EJE CAFETERO,,Distrito Area Metropolitina Pereira,,,
0208,42,-,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,C. C. MAZUREN       ,-,,Gcia. Distrito Bogotá 6,Distrito BTA 2,2802,2521,2517,C. C. MAZUREN       ,2793, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,,Distrito BTA 2,,,
0214,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,CENTRO COM.SAN DIEGO,-,,Gcia. Distrito Medellín 7,Distrito Medellin 4,3038,3014,3011,CENTRO COM.SAN DIEGO,3007, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 4,,,
0216,06,-,003,002,NORORIENTE          ,DIRECCION CARIBE, CORDOBA-SUCRE       ,GZ CORDOBA Y SUCRE,CERETE              ,-,,-,Distrito Monteria,,,,CERETE              ,, CORDOBA-SUCRE       ,GZ CORDOBA Y SUCRE,,Distrito Monteria,,,
0217,42,04,052,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 6 ,GZ DISTRITOS VALLE DE ABURRA,CENTRO COMERC OVIEDO,-,,Gcia. Distrito Medellín 6,Distrito Medellin 6,3041,3012,3013,CENTRO COMERC OVIEDO,3007, G.DISTRITO MDLLIN 6 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 6,,,
0218,04,-,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, RISARALDA-CALDAS    ,GZ EJE CAFETERO,CTRO CIAL CABLE PLAZ,-,,-,Distrito Manizales,,,,CTRO CIAL CABLE PLAZ,, RISARALDA-CALDAS    ,GZ EJE CAFETERO,,Distrito Manizales,,,
0220,06,-,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CIENAGA             ,-,,-,Distrito Sta Marta,,,,CIENAGA             ,, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito Sta Marta,,,
0221,06,-,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CIAL BUENAVISTA,-,,-,Distrito Sta Marta,,,,CTRO CIAL BUENAVISTA,, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito Sta Marta,,,
0224,06,-,002,001,NORORIENTE          ,DIRECCION CARIBE, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,CODAZZI             ,-,,-,-,,,,CODAZZI             ,, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,,-,,,
0225,42,04,051,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,BOULEVARD MAYORCA   ,-,,Gcia. Distrito Medellín 5,Distrito Medellin 7,3050,3012,3014,BOULEVARD MAYORCA   ,3007, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 7,,,
0226,42,07,045,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,CENTRO CCIAL UNICO  ,-,,Gcia. Distrito Cali 7,Distrito Cali 4,3000,2968,2966,CENTRO CCIAL UNICO  ,2962, G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,,Distrito Cali 4,,,
0228,42,-,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,C CIAL PSEO S RAFAEL,-,,Gcia. Distrito Bogotá 6,Distrito BTA 4,2803,2521,2519,C CIAL PSEO S RAFAEL,2793, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,,Distrito BTA 4,,,
0229,08,-,003,001,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,GRANADA CUNDINAMARCA,-,,-,-,,,,GRANADA CUNDINAMARCA,, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,,-,,,
0231,08,-,003,004,CENTRAL             ,DIRECCION CENTRAL, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,SOLARES VILLETA     ,-,,-,-,,,,SOLARES VILLETA     ,, CUNDINAMARCA        ,GZ CUNDINAMARCA SUR,,-,,,
0232,04,-,007,001,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, URABA-MPIOS ANTIOQ  ,GZ DISTRITOS VALLE DE ABURRA,COPACABANA          ,-,,-,Distrito Medellin 1,,,,COPACABANA          ,, URABA-MPIOS ANTIOQ  ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 1,,,
0235,06,-,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CIAL OCEAN MALL,-,,-,Distrito Sta Marta,,,,CTRO CIAL OCEAN MALL,, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,,Distrito Sta Marta,,,
0236,42,04,049,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 3 ,GZ DISTRITOS VALLE DE ABURRA,CTR CIAL LOS MOLINOS,-,,Gcia. Distrito Medellín 3,Distrito Medellin 5,3026,3009,3012,CTR CIAL LOS MOLINOS,3007, G.DISTRITO MDLLIN 3 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 5,,,
0237,42,-,002,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,CTRO PLAZA IMPERIAL ,-,,Gcia. Distrito Bogotá 2,Distrito BTA 3,2735,2517,2518,CTRO PLAZA IMPERIAL ,2793, GCIA DISTRITO BTA 2 ,GZ DISTRITOS BTA 1,,Distrito BTA 3,,,
0238,04,-,007,003,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,CTRO CIAL PLAZA RIO ,-,,-,Distrito Uraba,,,,CTRO CIAL PLAZA RIO ,, URABA-MPIOS ANTIOQ  ,GZ MUNICIPOS DE ANTIOQUIA,,Distrito Uraba,,,
0239,42,-,001,-,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,CENTRO CHIA         ,-,,Gcia. Distrito Bogotá 1,Distrito BTA 1,2799,2516,2516,CENTRO CHIA         ,2793, GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,,Distrito BTA 1,,,
0240,06,-,001,002,NORORIENTE          ,DIRECCION CARIBE, BOLIVAR-SAN ANDRES  ,GZ CORDOBA Y SUCRE,COROZAL             ,-,,-,Distrito Sincelejo,,,,COROZAL             ,, BOLIVAR-SAN ANDRES  ,GZ CORDOBA Y SUCRE,,Distrito Sincelejo,,,
0244,08,-,004,002,CENTRAL             ,DIRECCION CENTRAL, HUILA               ,GZ HUILA,CTRO CIAL SAN PEDRO ,-,,-,Distrito Neiva,,,,CTRO CIAL SAN PEDRO ,, HUILA               ,GZ HUILA,,Distrito Neiva,,,
0249,42,07,040,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 2   ,GZ DISTRITOS CALI,COSMOCENTRO         ,-,,Gcia. Distrito Cali 2,Distrito Cali 2,2976,2963,2964,COSMOCENTRO         ,2962, G.DISTRITO CALI 2   ,GZ DISTRITOS CALI,,Distrito Cali 2,,,
0250,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,CARRERA BOLIVAR     ,-,,Gcia. Distrito Medellín 7,Distrito Medellin 4,3036,3014,3011,CARRERA BOLIVAR     ,3007, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,,Distrito Medellin 4,,,
0256,42,07,043,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,BULEVAR DEL RIO CALI,-,,Gcia. Distrito Cali 5,Distrito Cali 3,2993,2966,2965,BULEVAR DEL RIO CALI,2962, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,,Distrito Cali 3,,,
0259,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,OFI SABANA DE TORRES,-,,-,Distrito Barrancabermeja,,,,OFI SABANA DE TORRES,, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,,Distrito Barrancabermeja,,,
0260,06,41,006,010,NORORIENTE          ,DIRECCION ORIENTE, NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,CUCUTA              ,-,,-,Distrito Cucuta 1,,,,CUCUTA              ,, NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,,Distrito Cucuta 1,,,
0261,42,-,019,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,C CIAL MERCURIO     ,-,,Gcia. Distrito Bogotá 19,Distrito BTA 16,2717,2696,2761,C CIAL MERCURIO     ,2684, GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,,Distrito BTA 16,,,
0263,08,-,007,001,CENTRAL             ,DIRECCION CENTRAL,TERRITORIOS NAC CUND,GZ CUNDINAMARCA SUR,MELGAR              ,-,,-,-,336,3266,3262,MELGAR              ,,TERRITORIOS NAC CUND,GZ CUNDINAMARCA SUR,,-,,,
0264,42,-,001,-,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,CHIA                ,-,,Gcia. Distrito Bogotá 1,Distrito BTA 1,2800,2516,2516,CHIA                ,2793,GCIA DISTRITO BTA 1 ,GZ DISTRITOS BTA 1,,Distrito BTA 1,,,
0266,04,-,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, RISARALDA-CALDAS    ,GZ EJE CAFETERO,CHINCHINA           ,-,,-,Distrito Manizales,,,,CHINCHINA           ,, RISARALDA-CALDAS    ,GZ EJE CAFETERO,,Distrito Manizales,,,
0267,04,-,002,005,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,LA CEJA             ,-,,-,Distrito Valle de San Nicolas,,,,LA CEJA             ,, MUNICIPIOS ANTIOQUIA,GZ VALLE DE SAN NICOLAS Y CHOCO,,Distrito Valle de San Nicolas,,,
0268,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE,BYCA Y NTE DE CMARCA,GZ BOYACA,CHIQUINQUIRA        ,-,,-,-,,,,CHIQUINQUIRA        ,,BYCA Y NTE DE CMARCA,GZ BOYACA,,-,,,
0269,04,08,006,-,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL,TOLIMA              ,GZ TOLIMA,LIBANO              ,-,,-,-,,,,LIBANO              ,,TOLIMA              ,GZ TOLIMA,,-,,,
0270,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE, BYCA Y NTE DE CMARCA,GZ BOYACA,CHOCONTA            ,-,,-,-,,,,CHOCONTA            ,, BYCA Y NTE DE CMARCA,GZ BOYACA,,-,,,
0272,42,-,019,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,SOACHA              ,-,,Gcia. Distrito Bogotá 19,Distrito BTA 16,2718,2696,2761,SOACHA              ,2684,GCIA DISTRITO BTA 19,GZ DISTRITOS BTA 3,,Distrito BTA 16,,,
0274,42,-,022,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 22,GZ DISTRITOS BTA 3,C CIAL HAYUELOS     ,-,,Gcia. Distrito Bogotá 22,Distrito BTA 20,2595,2709,2700,C CIAL HAYUELOS     ,2573,GCIA DISTRITO BTA 22,GZ DISTRITOS BTA 3,,Distrito BTA 20,,,
0275,42,-,024,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 24,GZ DISTRITOS BTA 1,PORTAL DE LA 80     ,-,,Gcia. Distrito Bogotá 24,Distrito BTA 5,2584,2720,2520,PORTAL DE LA 80     ,2573,GCIA DISTRITO BTA 24,GZ DISTRITOS BTA 1,,Distrito BTA 5,,,
