COD OFICINA,ACTUAL COD REGION COMERCIAL,NUEVO COD REGION COMERCIAL,ACTUAL COD ZONA COMERCIAL,NUEVO COD ZONA COMERCIAL,ACTUAL NOMBRE REGION COMERCIAL,NUEVO NOMBRE REGION COMERCIAL,ACTUAL NOMBRE ZONA COMERCIAL,NUEVO NOMBRE ZONA COMERCIAL,Actual Nombre oficina,NUEVO NOMBRE OFICINA,NOMBRE GERENCIA/AREA,NOMBRE DISTRITO ACTUAL,NOMBRE NUEVO DISTRITO
0134,42,07,045,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE,G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,CC LA ESTACION CALI ,No Aplica,,Gcia. Distrito Cali 7,Distrito Cali 6
0135,42,,015,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,LA VICTORIA SUR ORIE,No Aplica,,Gcia. Distrito Bogotá 15,Distrito BTA 14
0136,08,41,001,007,CENTRAL             ,DIRECCION ORIENTE,BOYACA              ,GZ BOYACA,OFICINA BARBOSA     ,No Aplica,,-,-
0137,06,41,006,010,NORORIENTE          ,DIRECCION ORIENTE, NTE SANTAND ARAUCA  ,GZ NORTE DE SANTANDER Y ARAUCA,ARAUCA              ,No Aplica,,-,-
0138,04,,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, QUINDIO-CHOCO       ,GZ EJE CAFETERO,ARMENIA             ,No Aplica,,-,Distrito Armenia
0140,04,08,006,,ANT-OCC-TOLIMA      ,DIRECCION CENTRAL, TOLIMA              ,GZ TOLIMA,LERIDA              ,No Aplica,,-,-
0142,42,07,039,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 1   ,GZ DISTRITOS CALI,CTRO CIAL JARDIN PLZ,No Aplica,,Gcia. Distrito Cali 1,Distrito Cali 1
0143,42,,016,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 16,GZ DISTRITOS BTA 3,BOSA                ,No Aplica,,Gcia. Distrito Bogotá 16,Distrito BTA 17
0146,42,07,046,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE,G.DISTRITO CALI 8   ,GZ DISTRITOS CALI,PQ VERSALLES CALI   ,No Aplica,,Gcia. Distrito Cali 8,Distrito Cali 4
0149,08,41,002,007,CENTRAL             ,DIRECCION ORIENTE, BYCA Y NTE DE CMARCA,GZ BOYACA,VILLAPINZON         ,No Aplica,,-,-
0151,42,06,034,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 3,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CENTRO NELMAR       ,No Aplica,,Gcia. Distrito B/quilla 3,Distrito B/quilla 3
0154,42,04,051,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE,G.DISTRITO MDLLIN 5 ,GZ DISTRITOS VALLE DE ABURRA,S.ANTONIODELPRADO   ,No Aplica,,Gcia. Distrito Medellín 5,Distrito Medellin 7
0157,42,41,037,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE, G.DISTRITO BMANGA 2 ,GZ BUCARAMANGA,SOTOMAYOR           ,No Aplica,,Gcia. Distrito B/manga 2,Distrito B/manga 2
0161,42,,017,003,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 17,GZ DISTRITOS BTA 3,CIUDAD TUNAL        ,No Aplica,,Gcia. Distrito Bogotá 17,Distrito BTA 18
0164,42,07,045,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE,G.DISTRITO CALI 7   ,GZ DISTRITOS CALI,CTRO CCIAL CALIMA   ,No Aplica,,Gcia. Distrito Cali 7,Distrito Cali 5
0166,42,07,043,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,PARQUE SAN NICOLAS  ,No Aplica,,Gcia. Distrito Cali 5,Distrito Cali 4
0168,06,41,004,009,NORORIENTE          ,DIRECCION ORIENTE, MAGDALENA MEDIO     ,GZ MAGDALENA MEDIO,BARRANCABERMEJA     ,No Aplica,,-,Distrito Barrancabermeja
0170,42,06,034,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 3,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BARRANQUILLA        ,No Aplica,,Gcia. Distrito B/quilla 3,Distrito B/quilla 3
0171,42,,020,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 20,GZ DISTRITOS BTA 2,CRR 19 AV PRIM MAYO ,No Aplica,,Gcia. Distrito Bogotá 20,Distrito BTA 13
0173,42,06,033,003,DIRECCION DISTRITOS ,DIRECCION CARIBE,G.DISTRITO BQUILLA 2,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BOULEVARD 54        ,No Aplica,,Gcia. Distrito B/quilla 2,Distrito B/quilla 2
0174,42,,015,002,DIRECCION DISTRITOS ,DIRECCION CAPITAL,GCIA DISTRITO BTA 15,GZ DISTRITOS BTA 2,SANTA LUCIA         ,No Aplica,,Gcia. Distrito Bogotá 15,Distrito BTA 14
0178,42,04,047,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE,G.DISTRITO MDLLIN 1 ,GZ DISTRITOS VALLE DE ABURRA,BELLO               ,No Aplica,,Gcia. Distrito Medellín 1,Distrito Medellin 1
0180,42,07,043,001,DIRECCION DISTRITOS ,DIRECCION OCCIDENTE, G.DISTRITO CALI 5   ,GZ DISTRITOS CALI,CALI                ,No Aplica,,Gcia. Distrito Cali 5,Distrito Cali 3
0181,04,07,003,002,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, NARINO CAUCA        ,GZ NARINO Y CAUCA,PUERTO TEJADA       ,No Aplica,,-,-
0182,06,,001,003,NORORIENTE          ,DIRECCION CARIBE, BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,EDF BCO DE BTA BOCAG,No Aplica,,-,Distrito Cartagena
0183,06,,002,001,NORORIENTE          ,DIRECCION CARIBE, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,BOSCONIA            ,No Aplica,,-,-
0184,42,41,038,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE, G.DISTRITO BMANGA 3 ,GZ BUCARAMANGA,BUCARAMANGA         ,No Aplica,,Gcia. Distrito B/manga 3,Distrito B/manga 3
0186,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE, VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,VISTAMAR BUENAVENTUR,No Aplica,,-,-
0187,42,06,032,003,DIRECCION DISTRITOS ,DIRECCION CARIBE, G.DISTRITO BQUILLA 1,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,BUENAVISTA          ,No Aplica,,Gcia. Distrito B/quilla 1,Distrito B/quilla 1
0188,04,07,008,004,ANT-OCC-TOLIMA      ,DIRECCION OCCIDENTE,VALLE DEL CAUCA     ,GZ VALLE DEL CAUCA,BUGA                ,No Aplica,,-,Distrito Norte del Valle
0190,04,,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, QUINDIO-CHOCO       ,GZ EJE CAFETERO,CALARCA             ,No Aplica,,-,Distrito Armenia
0191,42,,024,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 24,GZ DISTRITOS BTA 1,C.C TITAN           ,No Aplica,,Gcia. Distrito Bogotá 24,Distrito BTA 5
0195,37,,006,,DIR BANCA PREMIUM   ,DIRECCION BANCA PREMIUM, PREMIUM NORORIENTE  ,GZ PREMIUM NORORIENTE,OF PREMIUM RUITOQUE ,No Aplica,,,
0197,08,,003,004,CENTRAL             ,DIRECCION CENTRAL,CUNDINAMARCA        ,GZ MUNICIPIOS DE CUNDINAMARCA,CHOACHI             ,No Aplica,,-,-
0198,08,,008,003,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ META,UNICENTRO VILLAVICEN,No Aplica,,-,Distrito Villavicencio 1
0200,08,,008,005,CENTRAL             ,DIRECCION CENTRAL, VILLAVICENCIO       ,GZ TERRITORIOS ORIENTE COLOMBIANO,BASE MIL.SAN JOSE GU,No Aplica,,-,-
0201,08,,007,005,CENTRAL             ,DIRECCION CENTRAL, TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,GRAN PLAZA FLORENCIA,No Aplica,,-,Distrito Florencia
0202,08,,007,005,CENTRAL             ,DIRECCION CENTRAL,TERRITORIOS NAC CUND,GZ TERRITORIOS ORIENTE COLOMBIANO,DONCELLO            ,No Aplica,,-,-
0203,42,41,036,008,DIRECCION DISTRITOS ,DIRECCION ORIENTE,G.DISTRITO BMANGA 1 ,GZ BUCARAMANGA,CANAVERAL           ,No Aplica,,Gcia. Distrito B/manga 1,Distrito B/manga 1
0204,06,,001,003,NORORIENTE          ,DIRECCION CARIBE, BOLIVAR-SAN ANDRES  ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CARTAGENA           ,No Aplica,,-,Distrito Cartagena
0206,04,,004,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, NUEVO QUINDIO       ,GZ EJE CAFETERO,CARTAGO             ,No Aplica,,-,Distrito Area Metropolitina Pereira
0208,42,,006,001,DIRECCION DISTRITOS ,DIRECCION CAPITAL, GCIA DISTRITO BTA 6 ,GZ DISTRITOS BTA 1,C. C. MAZUREN       ,No Aplica,,Gcia. Distrito Bogotá 6,Distrito BTA 2
0214,42,04,053,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,CENTRO COM.SAN DIEGO,No Aplica,,Gcia. Distrito Medellín 7,Distrito Medellin 4
0216,06,,003,002,NORORIENTE          ,DIRECCION CARIBE, CORDOBA-SUCRE       ,GZ CORDOBA Y SUCRE,CERETE              ,No Aplica,,-,Distrito Monteria
0217,42,04,052,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 6 ,GZ DISTRITOS VALLE DE ABURRA,CENTRO COMERC OVIEDO,No Aplica,,Gcia. Distrito Medellín 6,Distrito Medellin 6
0218,04,,005,002,ANT-OCC-TOLIMA      ,DIRECCION ANTIOQUIA Y EJE, RISARALDA-CALDAS    ,GZ EJE CAFETERO,CTRO CIAL CABLE PLAZ,No Aplica,,-,Distrito Manizales
0220,06,,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CIENAGA             ,No Aplica,,-,Distrito Sta Marta
0221,06,,005,003,NORORIENTE          ,DIRECCION CARIBE, MAGDALENA-GUAJIRA   ,GZ DISTRITOS B/QUILLA C/GENA Y STA MTA,CTRO CIAL BUENAVISTA,No Aplica,,-,Distrito Sta Marta
0224,06,,002,001,NORORIENTE          ,DIRECCION CARIBE, CESAR               ,GZ CESAR MAGDALENA Y GUAJIRA,CODAZZI             ,No Aplica,,-,-
0225,42,04,051,001,DIRECCION DISTRITOS ,DIRECCION ANTIOQUIA Y EJE, G.DISTRITO MDLLIN 7 ,GZ DISTRITOS VALLE DE ABURRA,BOULEVARD MAYORCA   ,No Aplica,,Gcia. Distrito Medellín 5,Distrito Medellin 7
